rowID,SCENARIO,CATEGORY,PRODUCT,FLOW,UNIT,YEAR,VALUE
76,Announced Pledges Scenario,Energy,Hydro,Total energy supply,EJ,2030,18.012
77,Announced Pledges Scenario,Energy,Hydro,Total energy supply,EJ,2035,19.803
78,Announced Pledges Scenario,Energy,Hydro,Total energy supply,EJ,2040,21.82
79,Announced Pledges Scenario,Energy,Hydro,Total energy supply,EJ,2050,25.316
80,Net Zero Emissions by 2050 Scenario,Energy,Hydro,Total energy supply,EJ,2023,15.295
81,Net Zero Emissions by 2050 Scenario,Energy,Hydro,Total energy supply,EJ,2030,19.456
82,Net Zero Emissions by 2050 Scenario,Energy,Hydro,Total energy supply,EJ,2035,22.413
83,Net Zero Emissions by 2050 Scenario,Energy,Hydro,Total energy supply,EJ,2040,24.913
84,Net Zero Emissions by 2050 Scenario,Energy,Hydro,Total energy supply,EJ,2050,27.797
85,Stated Policies Scenario,Energy,Modern bioenergy: solid,Total energy supply,EJ,2010,22.927
86,Stated Policies Scenario,Energy,Modern bioenergy: solid,Total energy supply,EJ,2022,34.254
87,Stated Policies Scenario,Energy,Modern bioenergy: solid,Total energy supply,EJ,2023,35.634
88,Stated Policies Scenario,Energy,Modern bioenergy: solid,Total energy supply,EJ,2030,43.624
89,Stated Policies Scenario,Energy,Modern bioenergy: solid,Total energy supply,EJ,2035,46.462
90,Stated Policies Scenario,Energy,Modern bioenergy: solid,Total energy supply,EJ,2040,49.362
91,Stated Policies Scenario,Energy,Modern bioenergy: solid,Total energy supply,EJ,2050,56.123
92,Announced Pledges Scenario,Energy,Modern bioenergy: solid,Total energy supply,EJ,2023,35.634
93,Announced Pledges Scenario,Energy,Modern bioenergy: solid,Total energy supply,EJ,2030,47.772
94,Announced Pledges Scenario,Energy,Modern bioenergy: solid,Total energy supply,EJ,2035,56.395
95,Announced Pledges Scenario,Energy,Modern bioenergy: solid,Total energy supply,EJ,2040,63.647
96,Announced Pledges Scenario,Energy,Modern bioenergy: solid,Total energy supply,EJ,2050,72.921
97,Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: solid,Total energy supply,EJ,2023,35.634
98,Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: solid,Total energy supply,EJ,2030,52.915
99,Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: solid,Total energy supply,EJ,2035,64.318
100,Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: solid,Total energy supply,EJ,2040,71.038
101,Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: solid,Total energy supply,EJ,2050,75.741
102,Stated Policies Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,2010,2.388
103,Stated Policies Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,2022,4.281
104,Stated Policies Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,2023,4.598
105,Stated Policies Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,2030,5.814
106,Stated Policies Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,2035,6.284
107,Stated Policies Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,2040,6.871
108,Stated Policies Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,2050,8.219
109,Announced Pledges Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,2023,4.598
110,Announced Pledges Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,2030,9.654
111,Announced Pledges Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,2035,12.399
112,Announced Pledges Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,2040,14.245
113,Announced Pledges Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,2050,13.907
114,Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,2023,4.598
115,Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,2030,11.941
116,Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,2035,13.554
117,Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,2040,13.809
118,Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,2050,11.676
119,Stated Policies Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,2010,0.807
120,Stated Policies Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,2022,1.291
121,Stated Policies Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,2023,1.286
122,Stated Policies Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,2030,2.16
123,Stated Policies Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,2035,3.191
124,Stated Policies Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,2040,4.547
125,Stated Policies Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,2050,8.43
126,Announced Pledges Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,2023,1.286
127,Announced Pledges Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,2030,3.97
128,Announced Pledges Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,2035,5.965
129,Announced Pledges Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,2040,7.989
130,Announced Pledges Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,2050,12.055
131,Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,2023,1.286
132,Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,2030,6.365
133,Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,2035,8.847
134,Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,2040,10.502
135,Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,2050,12.429
136,Stated Policies Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,2010,20.818
137,Stated Policies Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,2022,19.106
138,Stated Policies Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,2023,19.123
139,Stated Policies Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,2030,14.585
140,Stated Policies Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,2035,13.374
141,Stated Policies Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,2040,12.046
142,Stated Policies Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,2050,9.693
143,Announced Pledges Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,2023,19.123
144,Announced Pledges Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,2030,6.425
145,Announced Pledges Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,2035,4.688
146,Announced Pledges Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,2040,3.33
147,Announced Pledges Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,2050,2.173
148,Net Zero Emissions by 2050 Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,2023,19.123
149,Net Zero Emissions by 2050 Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,2030,0.0
150,Net Zero Emissions by 2050 Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,2035,0.0
151,Net Zero Emissions by 2050 Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,2040,0.0
152,Net Zero Emissions by 2050 Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,2050,0.0
153,Stated Policies Scenario,Energy,Nuclear,Total energy supply,EJ,2010,30.091
154,Stated Policies Scenario,Energy,Nuclear,Total energy supply,EJ,2022,29.309
155,Stated Policies Scenario,Energy,Nuclear,Total energy supply,EJ,2023,30.193
156,Stated Policies Scenario,Energy,Nuclear,Total energy supply,EJ,2030,35.845
157,Stated Policies Scenario,Energy,Nuclear,Total energy supply,EJ,2035,41.169
158,Stated Policies Scenario,Energy,Nuclear,Total energy supply,EJ,2040,44.664
159,Stated Policies Scenario,Energy,Nuclear,Total energy supply,EJ,2050,49.205
160,Announced Pledges Scenario,Energy,Nuclear,Total energy supply,EJ,2023,30.193
161,Announced Pledges Scenario,Energy,Nuclear,Total energy supply,EJ,2030,38.587
162,Announced Pledges Scenario,Energy,Nuclear,Total energy supply,EJ,2035,49.381
163,Announced Pledges Scenario,Energy,Nuclear,Total energy supply,EJ,2040,59.01
164,Announced Pledges Scenario,Energy,Nuclear,Total energy supply,EJ,2050,69.093
165,Net Zero Emissions by 2050 Scenario,Energy,Nuclear,Total energy supply,EJ,2023,30.193
166,Net Zero Emissions by 2050 Scenario,Energy,Nuclear,Total energy supply,EJ,2030,43.975
167,Net Zero Emissions by 2050 Scenario,Energy,Nuclear,Total energy supply,EJ,2035,58.988
168,Net Zero Emissions by 2050 Scenario,Energy,Nuclear,Total energy supply,EJ,2040,70.191
169,Net Zero Emissions by 2050 Scenario,Energy,Nuclear,Total energy supply,EJ,2050,78.434
170,Stated Policies Scenario,Energy,Natural gas,Total energy supply,EJ,2010,114.586
171,Stated Policies Scenario,Energy,Natural gas,Total energy supply,EJ,2022,144.377
172,Stated Policies Scenario,Energy,Natural gas,Total energy supply,EJ,2023,145.065
173,Stated Policies Scenario,Energy,Natural gas,Total energy supply,EJ,2030,153.325
174,Stated Policies Scenario,Energy,Natural gas,Total energy supply,EJ,2035,153.06
175,Stated Policies Scenario,Energy,Natural gas,Total energy supply,EJ,2040,152.074
176,Stated Policies Scenario,Energy,Natural gas,Total energy supply,EJ,2050,151.595
177,Announced Pledges Scenario,Energy,Natural gas,Total energy supply,EJ,2023,145.065
178,Announced Pledges Scenario,Energy,Natural gas,Total energy supply,EJ,2030,138.416
179,Announced Pledges Scenario,Energy,Natural gas,Total energy supply,EJ,2035,120.886
180,Announced Pledges Scenario,Energy,Natural gas,Total energy supply,EJ,2040,106.166
181,Announced Pledges Scenario,Energy,Natural gas,Total energy supply,EJ,2050,85.878
182,Net Zero Emissions by 2050 Scenario,Energy,Natural gas,Total energy supply,EJ,2023,145.065
183,Net Zero Emissions by 2050 Scenario,Energy,Natural gas,Total energy supply,EJ,2030,125.885
184,Net Zero Emissions by 2050 Scenario,Energy,Natural gas,Total energy supply,EJ,2035,78.555
185,Net Zero Emissions by 2050 Scenario,Energy,Natural gas,Total energy supply,EJ,2040,53.095
186,Net Zero Emissions by 2050 Scenario,Energy,Natural gas,Total energy supply,EJ,2050,30.694
187,Stated Policies Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,2010,108.745
188,Stated Policies Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,2022,136.378
189,Stated Policies Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,2023,136.932
190,Stated Policies Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,2030,143.635
191,Stated Policies Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,2035,142.354
192,Stated Policies Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,2040,140.424
193,Stated Policies Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,2050,138.754
194,Announced Pledges Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,2023,136.932
195,Announced Pledges Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,2030,127.736
196,Announced Pledges Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,2035,107.597
197,Announced Pledges Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,2040,90.393
198,Announced Pledges Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,2050,64.624
199,Net Zero Emissions by 2050 Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,2023,136.932
200,Net Zero Emissions by 2050 Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,2030,112.798
201,Net Zero Emissions by 2050 Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,2035,61.786
202,Net Zero Emissions by 2050 Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,2040,32.357
203,Net Zero Emissions by 2050 Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,2050,7.219
204,Stated Policies Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,2010,0.267
205,Stated Policies Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,2022,0.548
206,Stated Policies Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,2023,0.512
207,Stated Policies Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,2030,1.038
208,Stated Policies Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,2035,1.531
209,Stated Policies Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,2040,2.068
210,Stated Policies Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,2050,2.669
211,Announced Pledges Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,2023,0.512
212,Announced Pledges Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,2030,2.472
213,Announced Pledges Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,2035,4.823
214,Announced Pledges Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,2040,7.206
215,Announced Pledges Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,2050,12.804
216,Net Zero Emissions by 2050 Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,2023,0.512
217,Net Zero Emissions by 2050 Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,2030,5.178
218,Net Zero Emissions by 2050 Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,2035,8.886
219,Net Zero Emissions by 2050 Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,2040,13.061
220,Net Zero Emissions by 2050 Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,2050,16.682
221,Stated Policies Scenario,Energy,Oil,Total energy supply,EJ,2010,173.304
222,Stated Policies Scenario,Energy,Oil,Total energy supply,EJ,2022,187.34
223,Stated Policies Scenario,Energy,Oil,Total energy supply,EJ,2023,192.277
224,Stated Policies Scenario,Energy,Oil,Total energy supply,EJ,2030,195.141
225,Stated Policies Scenario,Energy,Oil,Total energy supply,EJ,2035,188.734
226,Stated Policies Scenario,Energy,Oil,Total energy supply,EJ,2040,181.646
227,Stated Policies Scenario,Energy,Oil,Total energy supply,EJ,2050,175.507
228,Announced Pledges Scenario,Energy,Oil,Total energy supply,EJ,2023,192.277
229,Announced Pledges Scenario,Energy,Oil,Total energy supply,EJ,2030,178.41
230,Announced Pledges Scenario,Energy,Oil,Total energy supply,EJ,2035,156.301
231,Announced Pledges Scenario,Energy,Oil,Total energy supply,EJ,2040,132.744
232,Announced Pledges Scenario,Energy,Oil,Total energy supply,EJ,2050,99.919
233,Net Zero Emissions by 2050 Scenario,Energy,Oil,Total energy supply,EJ,2023,192.277
234,Net Zero Emissions by 2050 Scenario,Energy,Oil,Total energy supply,EJ,2030,150.575
235,Net Zero Emissions by 2050 Scenario,Energy,Oil,Total energy supply,EJ,2035,109.315
236,Net Zero Emissions by 2050 Scenario,Energy,Oil,Total energy supply,EJ,2040,77.148
237,Net Zero Emissions by 2050 Scenario,Energy,Oil,Total energy supply,EJ,2050,40.231
238,Stated Policies Scenario,Energy,Oil: non-energy use,Total energy supply,EJ,2010,25.563
239,Stated Policies Scenario,Energy,Oil: non-energy use,Total energy supply,EJ,2022,29.983
240,Stated Policies Scenario,Energy,Oil: non-energy use,Total energy supply,EJ,2023,30.835
