SCENARIO,CATEGORY,PRODUCT,FLOW,UNIT,YEAR,VALUE
Net Zero Emissions by 2050 Scenario,Energy,Hydro,Total energy supply,EJ,2023,15.295
Net Zero Emissions by 2050 Scenario,Energy,Hydro,Total energy supply,EJ,2030,19.456
Net Zero Emissions by 2050 Scenario,Energy,Hydro,Total energy supply,EJ,2035,22.413
Net Zero Emissions by 2050 Scenario,Energy,Hydro,Total energy supply,EJ,2040,24.913
Net Zero Emissions by 2050 Scenario,Energy,Hydro,Total energy supply,EJ,2050,27.797
Stated Policies Scenario,Energy,Modern bioenergy: solid,Total energy supply,EJ,2010,22.927
Stated Policies Scenario,Energy,Modern bioenergy: solid,Total energy supply,EJ,2022,34.254
Stated Policies Scenario,Energy,Modern bioenergy: solid,Total energy supply,EJ,2023,35.634
Stated Policies Scenario,Energy,Modern bioenergy: solid,Total energy supply,EJ,2030,43.624
Stated Policies Scenario,Energy,Modern bioenergy: solid,Total energy supply,EJ,2035,46.462
Stated Policies Scenario,Energy,Modern bioenergy: solid,Total energy supply,EJ,2040,49.362
Stated Policies Scenario,Energy,Modern bioenergy: solid,Total energy supply,EJ,2050,56.123
Announced Pledges Scenario,Energy,Modern bioenergy: solid,Total energy supply,EJ,2023,35.634
Announced Pledges Scenario,Energy,Modern bioenergy: solid,Total energy supply,EJ,2030,47.772
Announced Pledges Scenario,Energy,Modern bioenergy: solid,Total energy supply,EJ,2035,56.395
Announced Pledges Scenario,Energy,Modern bioenergy: solid,Total energy supply,EJ,2040,63.647
Announced Pledges Scenario,Energy,Modern bioenergy: solid,Total energy supply,EJ,2050,72.921
Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: solid,Total energy supply,EJ,2023,35.634
Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: solid,Total energy supply,EJ,2030,52.915
Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: solid,Total energy supply,EJ,2035,64.318
Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: solid,Total energy supply,EJ,2040,71.038
Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: solid,Total energy supply,EJ,2050,75.741
Stated Policies Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,2010,2.388
Stated Policies Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,2022,4.281
